time	reading
1405525473	49.986137
1405525474	49.986206
1405525475	49.986271
1405525476	49.986584
1405525477	49.986893
1405525478	49.987267
1405525479	49.987724
1405525480	49.988125
1405525481	49.988537
1405525482	49.989079
1405525483	49.989601
1405525484	49.99007
1405525485	49.990578
1405525486	49.991261
1405525487	49.992134
1405525488	49.993366
1405525489	49.995152
1405525490	49.997215
1405525491	49.99918
1405525492	50.001038
1405525493	50.00272
1405525494	50.00415
1405525495	50.005699
1405525496	50.006886
1405525497	50.007896
1405525498	50.008724
1405525499	50.008854
1405525500	50.008507
1405525501	50.007687
1405525502	50.00692
1405525503	50.006081
1405525504	50.00507
1405525505	50.00396
1405525506	50.003021
1405525507	50.002369
1405525508	50.002048
1405525509	50.001797
1405525510	50.001564
1405525511	50.001537
1405525512	50.001602
1405525513	50.001572
1405525514	50.001617
1405525515	50.002026
1405525516	50.002472
1405525517	50.002792
1405525518	50.003326
1405525519	50.004032
1405525520	50.004639
1405525521	50.005112
1405525522	50.005524
1405525523	50.006161
1405525524	50.006706
1405525525	50.007126
1405525526	50.007233
1405525527	50.007069
1405525528	50.006721
1405525529	50.006256
1405525531	50.005768
1405525532	50.005173
1405525533	50.004261
1405525534	50.003082
1405525535	50.001831
1405525536	50.000439
1405525537	49.999012
1405525538	49.997608
1405525539	49.996231
1405525540	49.994747
1405525541	49.993137
1405525542	49.991692
1405525543	49.990475
1405525544	49.989414
1405525545	49.988369
1405525546	49.987587
1405525547	49.987083
1405525548	49.986542
1405525549	49.986023
1405525550	49.985565
1405525551	49.98547
1405525552	49.985397
1405525553	49.985298
1405525554	49.98531
1405525555	49.985577
1405525556	49.985809
1405525557	49.986031
1405525558	49.986099
1405525559	49.985722
1405525560	49.985233
1405525561	49.984917
1405525562	49.984703
1405525563	49.984425
1405525564	49.984272
1405525565	49.984428
1405525567	49.984711
1405525568	49.984978
1405525569	49.985249
1405525570	49.9855
1405525571	49.985901
1405525572	49.986507
1405525573	49.987312
1405525574	49.988159
1405525575	49.989185
1405525576	49.99033
1405525577	49.99115
1405525578	49.991825
1405525579	49.992424
1405525580	49.992771
1405525581	49.992863
1405525582	49.992908
1405525583	49.992905
1405525584	49.992828
1405525585	49.992935
1405525586	49.993114
1405525587	49.993134
1405525588	49.993362
1405525589	49.993797
1405525590	49.994019
1405525591	49.993965
1405525592	49.993767
1405525593	49.993217
1405525594	49.992809
1405525595	49.992805
1405525596	49.992828
1405525597	49.992691
1405525598	49.992519
1405525599	49.992409
1405525600	49.992153
1405525601	49.991631
1405525602	49.990887
1405525603	49.990055
1405525604	49.989407
1405525605	49.988815
1405525606	49.988232
1405525607	49.987686
1405525608	49.987106
1405525609	49.986473
1405525610	49.985779
1405525611	49.98521
1405525612	49.984684
1405525613	49.984112
1405525614	49.983681
1405525615	49.983288
1405525616	49.983074
1405525617	49.982944
1405525618	49.982632
1405525619	49.982494
1405525621	49.982803
1405525622	49.983116
1405525623	49.983688
1405525624	49.984608
